AU2,AU,KW_Merged,DE,C1,AB,RP,TC,TI,DT,PY,AF,AB_raw,TI_raw,DE_raw,AU_UN,AU1_UN,SR_FULL,SR,Country
"SHEPHERD RF, 1969, PHYSICS EDUCATION",SHEPHERD RF,NA,NA,"CHELSEA COLL., LONDON, UNITED KINGDOM",NA,NA,0,SMALL COMPUTERS,ARTICLE,1969,SHEPHERD RF,NA,Small computers,NA,KING'S COLLEGE LONDON,CHELSEA COLL.,"SHEPHERD RF, 1969, PHYSICS EDUCATION","SHEPHERD RF, 1969, PHYSICS EDUCATION",UNITED KINGDOM
"GREAVES C, 1970, PHYSICS EDUCATION-a",GREAVES C,NA,NA,"LANCHESTER POLYTECH. RUGBY, UNITED KINGDOM","SOLAR RADIATION PROVIDES A READILY AVAILABLE SOURCE OF ENERGY WHICH CAN BE USED TO GENERATE ELECTRICITY. IT CAN BE USED AS A SOURCE OF HEAT FOR CONVENTIONAL ELECTRICAL POWER GENERATION OF MORE DIRECTLY FOR THE CONVERSION OF HEAT INTO ELECTRICITY BY THE TECHNIQUES OF THERMOELECTRIC OR THERMIONIC CONVERSION. A REVIEW OF PRINCIPLES, MATERIALS, DEVICES AND APPLICATIONS IS GIVEN.",NA,2,THE DIRECT CONVERSION OF SOLAR LIGHT ENERGY INTO ELECTRICITY,REVIEW,1970,GREAVES C,"Solar radiation provides a readily available source of energy which can be used to generate electricity. It can be used as a source of heat for conventional electrical power generation of more directly for the conversion of heat into electricity by the techniques of thermoelectric or thermionic conversion. A review of principles, materials, devices and applications is given.",The direct conversion of solar light energy into electricity,NA,LANCHESTER POLYTECH. RUGBY,LANCHESTER POLYTECH. RUGBY,"GREAVES C, 1970, PHYSICS EDUCATION","GREAVES C, 1970, PHYSICS EDUCATION-a",UNITED KINGDOM
"GROOTENHUIS P, 1971, PHYSICS EDUCATION",GROOTENHUIS P,NA,NA,IMPERIAL COLLEGE,NA,NA,0,ACOUSTICS IN THE EDUCATION OF AN ENGINEER,SHORT SURVEY,1971,GROOTENHUIS P,NA,Acoustics in the education of an engineer,NA,IMPERIAL COLLEGE,IMPERIAL COLLEGE,"GROOTENHUIS P, 1971, PHYSICS EDUCATION","GROOTENHUIS P, 1971, PHYSICS EDUCATION",UNITED KINGDOM
"JAMES WGG, 1970, PHYSICS EDUCATION",JAMES WGG,NA,NA,"BRUNEL UNIV., LONDON, UNITED KINGDOM",DISCUSSES THE DEVELOPMENT OF THE IDEAS OF THE PHOTON AND THE WAVE MODELS OF RADIATION AND EXPLAINS HOW FOUCAULT'S 'EXPERIMENTUM CRUCIS' FOR DECIDING BETWEEN THE TWO MODELS SHOWED THAT THE MODELS WERE COMPLEMENTARY RATHER THAN CONFLICTING.,NA,2,RADIATION MODELS,REVIEW,1970,JAMES WGG,Discusses the development of the ideas of the photon and the wave models of radiation and explains how Foucault's 'experimentum crucis' for deciding between the two models showed that the models were complementary rather than conflicting.,Radiation models,NA,BRUNEL UNIV.,BRUNEL UNIV.,"JAMES WGG, 1970, PHYSICS EDUCATION","JAMES WGG, 1970, PHYSICS EDUCATION",UNITED KINGDOM
"TYRRELL HJV, 1969, PHYSICS EDUCATION",TYRRELL HJV,NA,NA,"CHELSEA COLLEGE, LONDON",NA,NA,0,LARS ONSAGER,ARTICLE,1969,TYRRELL HJV,NA,Lars Onsager,NA,KING'S COLLEGE LONDON,CHELSEA COLLEGE,"TYRRELL HJV, 1969, PHYSICS EDUCATION","TYRRELL HJV, 1969, PHYSICS EDUCATION",UNITED KINGDOM
"SCHOFIELD R, 1970, PHYSICS EDUCATION",SCHOFIELD R,NA,NA,"ASSOCIATION FOR SCIENCE EDUCATION, EDUCATION (RESEARCH) COMMITTEE",NA,NA,0,NOMENCLATURE IN SI [1],LETTER,1970,SCHOFIELD R,NA,Nomenclature in SI [1],NA,ASSOCIATION FOR SCIENCE EDUCATION,ASSOCIATION FOR SCIENCE EDUCATION,"SCHOFIELD R, 1970, PHYSICS EDUCATION","SCHOFIELD R, 1970, PHYSICS EDUCATION",UNITED STATES
"BALCHIN AA, 1969, PHYSICS EDUCATION-a",BALCHIN AA;DAWSON RPM,NA,NA,"BRIGHTON COLL. TECHNOLOGY, UNITED KINGDOM",NA,NA,2,THE DEMONSTRATION OF OPTICAL AND X-RAY DIFFRACTION EFFECTS USING A LASER SOURCE,ARTICLE,1969,BALCHIN AA;DAWSON RPM,NA,The demonstration of optical and x-ray diffraction effects using a laser source,NA,BRIGHTON COLL. TECHNOLOGY,BRIGHTON COLL. TECHNOLOGY,"BALCHIN AA, 1969, PHYSICS EDUCATION","BALCHIN AA, 1969, PHYSICS EDUCATION-a",UNITED KINGDOM
"WINTON W, 1969, PHYSICS EDUCATION",WINTON W,NA,NA,"SCIENCE MUSEUM, LONDON",NA,NA,0,LOAN SCIENCE EXHIBITIONS,ARTICLE,1969,WINTON W,NA,Loan science exhibitions,NA,SCIENCE MUSEUM,SCIENCE MUSEUM,"WINTON W, 1969, PHYSICS EDUCATION","WINTON W, 1969, PHYSICS EDUCATION",UNITED KINGDOM
"BURGE EJ, 1971, PHYSICS EDUCATION-a",BURGE EJ,NA,NA,"CHELSEA COLLEGE, UNIVERSITY OF LONDON",NA,NA,0,PHYSICS ON STAMPS,ARTICLE,1971,BURGE EJ,NA,Physics on stamps,NA,UNIVERSITY OF LONDON,UNIVERSITY OF LONDON,"BURGE EJ, 1971, PHYSICS EDUCATION","BURGE EJ, 1971, PHYSICS EDUCATION-a",UNITED KINGDOM
"WOODALL AJ, 1969, PHYSICS EDUCATION",WOODALL AJ;HAWKINS AC,NA,NA,"ROYAL MILITARY COLLEGE OF SCIENCE, SHRIVENHAM; PERSE SCHOOL, CAMBRIDGE",NA,NA,3,LABORATORY PHYSICS AND ITS DEBT TO G F C SEARLE,ARTICLE,1969,WOODALL AJ;HAWKINS AC,NA,Laboratory physics and its debt to G F C Searle,NA,ROYAL MILITARY COLLEGE OF SCIENCE;PERSE SCHOOL,ROYAL MILITARY COLLEGE OF SCIENCE;PERSE SCHOOL,"WOODALL AJ, 1969, PHYSICS EDUCATION","WOODALL AJ, 1969, PHYSICS EDUCATION",UNITED KINGDOM
